"Hospital","patient_count","unique_doctor_count","medical_condition_count","total_billing_amount","average_billing_amount","average_patient_age","average_length_of_stay","first_admission_date","last_admission_date"
"Nguyen, Perez Davis and",1,1,1,11401.70,11401.72,41.0,5,2023-08-23,2023-08-23
"Nguyen, Simmons and Johnson",1,1,1,43863.50,43863.48,59.0,27,2020-02-24,2020-02-24
Nichols-Andrews,1,1,1,16382.50,16382.51,80.0,14,2019-10-14,2019-10-14
Nichols-Collins,1,1,1,13810.80,13810.84,67.0,26,2023-08-31,2023-08-31
Nichols-Daniel,1,1,1,48213.20,48213.19,27.0,22,2023-12-17,2023-12-17
Nichols-Edwards,1,1,1,16046.40,16046.40,45.0,13,2021-05-06,2021-05-06
Nichols-Fernandez,2,1,1,38412.20,19206.12,72.5,21,2019-09-20,2019-09-20
Nichols-Fitzgerald,1,1,1,20403.70,20403.68,54.0,2,2021-07-04,2021-07-04
Nichols-Garcia,2,2,2,71002.30,35501.13,38.5,22,2019-08-20,2024-01-13
Nichols-Garrison,1,1,1,33804.20,33804.20,19.0,13,2020-03-20,2020-03-20
Nichols-Hall,1,1,1,12436.10,12436.10,32.0,15,2023-08-14,2023-08-14
Nichols-Harper,1,1,1,18089.20,18089.23,79.0,20,2019-07-16,2019-07-16
Nichols-Hart,1,1,1,7272.24,7272.24,81.0,7,2021-10-27,2021-10-27
Nichols-Johnston,1,1,1,16471.10,16471.11,36.0,15,2023-09-15,2023-09-15
Nichols-Mann,1,1,1,20491.90,20491.86,81.0,12,2019-09-10,2019-09-10
Nichols-Martin,1,1,1,2149.82,2149.82,57.0,26,2019-12-15,2019-12-15
Nichols-Martinez,1,1,1,7072.79,7072.79,26.0,29,2022-12-04,2022-12-04
Nichols-Paul,1,1,1,25058.80,25058.85,84.0,6,2022-04-25,2022-04-25
Nichols-Reyes,1,1,1,5808.61,5808.61,53.0,2,2021-07-04,2021-07-04
Nichols-Robertson,1,1,1,43686.10,43686.09,33.0,17,2024-02-24,2024-02-24
Nichols-Ross,1,1,1,34096.00,34095.98,66.0,26,2020-09-29,2020-09-29
Nichols-Smith,1,1,1,3200.74,3200.74,37.0,3,2019-09-28,2019-09-28
Nichols-Swanson,1,1,1,9321.53,9321.53,47.0,16,2022-11-22,2022-11-22
Nichols-Tran,1,1,1,22818.10,22818.05,53.0,5,2021-03-04,2021-03-04
Nichols-Vazquez,1,1,1,28181.80,28181.80,29.0,26,2023-01-17,2023-01-17
Nichols-Williams,1,1,1,29999.40,29999.39,30.0,6,2019-12-11,2019-12-11
Nichols-Winters,1,1,1,26490.70,26490.71,68.0,2,2019-06-09,2019-06-09
"Nichols and Calhoun, Reyes",1,1,1,32041.40,32041.45,73.0,28,2021-06-05,2021-06-05
"Nichols and White, Thornton",1,1,1,40431.10,40431.15,71.0,14,2021-03-15,2021-03-15
"Nichols Brown, and White",1,1,1,32362.40,32362.39,34.0,12,2020-07-24,2020-07-24
"Nichols Cole, and Jackson",1,1,1,22575.40,22575.45,65.0,23,2023-08-09,2023-08-09
Nichols Group,1,1,1,19306.40,19306.37,70.0,26,2020-02-18,2020-02-18
Nichols Inc,2,2,2,30711.30,15355.67,41.5,20,2019-09-19,2023-05-24
"Nichols Jimenez, and Ingram",1,1,1,29584.30,29584.26,34.0,26,2024-04-26,2024-04-26
Nichols LLC,2,2,2,46296.50,23148.26,66.0,16,2019-07-07,2019-09-14
Nichols Ltd,2,2,1,96398.80,48199.38,51.5,20,2019-12-02,2020-01-11
"Nichols Miller, Garcia and",1,1,1,9480.94,9480.94,82.0,24,2021-12-24,2021-12-24
"Nichols Murphy and Nelson,",1,1,1,8784.84,8784.84,65.0,4,2022-07-15,2022-07-15
"Nichols Nolan, Jenkins and",1,1,1,34843.90,34843.91,55.0,22,2021-05-08,2021-05-08
"Nichols Ortega, and Alvarado",1,1,1,26539.10,26539.09,58.0,15,2022-12-17,2022-12-17
Nichols PLC,5,3,3,137001.00,27400.27,57.6,16,2023-02-03,2023-08-13
Nichols Sons and,1,1,1,13376.20,13376.25,66.0,21,2021-10-13,2021-10-13
"Nichols Whitehead, and Lewis",2,1,1,72100.20,36050.11,62.5,1,2023-05-10,2023-05-10
"Nichols, and Green Ray",1,1,1,48821.40,48821.38,28.0,9,2021-05-27,2021-05-27
"Nichols, and Miranda Howard",1,1,1,4618.42,4618.42,37.0,3,2022-09-03,2022-09-03
"Nichols, King and Yang",1,1,1,47765.00,47764.99,19.0,13,2023-01-04,2023-01-04
Nicholson-Johnson,2,1,1,93435.90,46717.95,31.5,4,2022-04-27,2022-04-27
Nicholson-Jones,1,1,1,21503.20,21503.23,68.0,2,2019-09-24,2019-09-24
Nicholson-Martinez,1,1,1,31343.70,31343.70,76.0,20,2023-12-27,2023-12-27
Nicholson-Perez,1,1,1,38147.00,38147.00,45.0,18,2021-04-23,2021-04-23
Nicholson-Wright,1,1,1,34569.00,34569.00,57.0,15,2022-11-17,2022-11-17
"Nicholson and Hall Richardson,",1,1,1,37227.50,37227.53,63.0,3,2020-06-25,2020-06-25
"Nicholson and Hendricks, Miles",1,1,1,30977.90,30977.90,35.0,30,2023-08-16,2023-08-16
Nicholson Inc,1,1,1,20272.80,20272.82,27.0,22,2020-01-08,2020-01-08
"Nicholson, and Nguyen Smith",2,1,1,45485.70,22742.85,70.5,12,2024-02-25,2024-02-25
"Nicholson, Mendoza and Little",1,1,1,16301.10,16301.12,34.0,6,2021-08-01,2021-08-01
Nielsen-Black,1,1,1,40981.70,40981.74,78.0,23,2020-02-03,2020-02-03
Nielsen-Cohen,2,1,1,28018.40,14009.21,33.5,9,2023-06-09,2023-06-09
Nielsen-Conway,1,1,1,41089.90,41089.93,45.0,30,2024-02-20,2024-02-20
Nielsen-Franklin,1,1,1,38950.40,38950.40,41.0,11,2023-07-13,2023-07-13
Nielsen-Hancock,1,1,1,2688.80,2688.80,41.0,28,2020-11-28,2020-11-28
Nielsen-Navarro,1,1,1,16777.80,16777.76,40.0,12,2020-02-19,2020-02-19
Nielsen-Reed,1,1,1,6565.74,6565.74,39.0,23,2023-10-09,2023-10-09
Nielsen-Romero,1,1,1,27960.10,27960.07,47.0,4,2021-10-31,2021-10-31
Nielsen-Russell,1,1,1,8617.65,8617.65,84.0,21,2021-11-16,2021-11-16
"Nielsen and Cannon, Leonard",1,1,1,7880.26,7880.26,78.0,21,2020-05-07,2020-05-07
"Nielsen and Moore Hansen,",1,1,1,38660.00,38660.00,63.0,8,2021-01-21,2021-01-21
Nielsen and Sons,1,1,1,25891.00,25891.00,38.0,1,2022-08-29,2022-08-29
"Nielsen and Taylor, Price",1,1,1,23794.60,23794.63,71.0,16,2023-09-17,2023-09-17
"Nielsen Collins, and Clements",1,1,1,22009.10,22009.07,39.0,10,2022-07-06,2022-07-06
Nielsen Group,1,1,1,43376.90,43376.89,53.0,6,2023-04-09,2023-04-09
"Nielsen Lowe, and Golden",1,1,1,6896.80,6896.80,69.0,8,2021-04-14,2021-04-14
Nielsen PLC,1,1,1,35531.60,35531.56,31.0,5,2023-03-05,2023-03-05
"Nielsen, and Anderson Watson",1,1,1,44342.10,44342.09,46.0,23,2023-05-10,2023-05-10
"Nielsen, Olson and Flores",1,1,1,21303.40,21303.37,25.0,11,2022-06-25,2022-06-25
Nixon-Cantu,1,1,1,2743.61,2743.61,27.0,12,2019-11-11,2019-11-11
Nixon-Chapman,1,1,1,19601.70,19601.65,39.0,1,2021-02-17,2021-02-17
Nixon-Clayton,1,1,1,31027.20,31027.18,77.0,16,2020-04-23,2020-04-23
Nixon-Hawkins,1,1,1,13030.00,13029.97,74.0,22,2019-08-04,2019-08-04
Nixon-Mayer,1,1,1,13949.40,13949.37,54.0,11,2021-06-03,2021-06-03
Nixon-Molina,1,1,1,34730.40,34730.37,31.0,29,2020-10-02,2020-10-02
Nixon-Richardson,1,1,1,13569.50,13569.45,64.0,28,2020-02-03,2020-02-03
Nixon-Solis,1,1,1,48070.10,48070.05,59.0,14,2021-09-12,2021-09-12
Nixon-Taylor,1,1,1,39098.30,39098.31,80.0,23,2021-10-12,2021-10-12
Nixon-Thomas,1,1,1,20805.30,20805.32,83.0,22,2022-01-23,2022-01-23
"Nixon and Martinez, Thomas",1,1,1,5969.25,5969.25,74.0,15,2020-10-16,2020-10-16
"Nixon Garcia, and Tucker",1,1,1,43767.90,43767.91,71.0,6,2020-12-25,2020-12-25
Nixon Group,1,1,1,10106.50,10106.54,41.0,2,2021-08-18,2021-08-18
Nixon Ltd,1,1,1,50314.70,50314.74,52.0,18,2023-01-28,2023-01-28
Nixon Sons and,2,1,1,90621.30,45310.63,31.0,23,2021-05-25,2021-05-25
"Nixon, and Hansen Johnston",1,1,1,31047.20,31047.19,48.0,26,2019-07-13,2019-07-13
"Nixon, and Mitchell Herrera",2,1,1,27872.00,13936.02,41.0,8,2019-10-05,2019-10-05
"Nixon, Baldwin Perry and",1,1,1,13488.60,13488.57,50.0,2,2022-11-28,2022-11-28
Noble-Chen,1,1,1,14728.70,14728.67,28.0,1,2022-07-22,2022-07-22
Noble-Mullen,1,1,1,38016.70,38016.72,41.0,2,2020-01-15,2020-01-15
Noble-Rivera,1,1,1,48574.80,48574.84,50.0,10,2022-12-16,2022-12-16
"Noble and Kelly, Dominguez",1,1,1,42102.10,42102.05,50.0,3,2020-05-01,2020-05-01
"Noble Caldwell, Parks and",2,1,1,58475.80,29237.91,59.0,29,2023-10-27,2023-10-27
Noble Inc,1,1,1,22586.60,22586.55,68.0,21,2019-08-20,2019-08-20
Noble PLC,1,1,1,31524.30,31524.31,46.0,6,2024-01-30,2024-01-30
Nolan-Barton,1,1,1,27520.90,27520.87,66.0,12,2023-10-15,2023-10-15
Nolan-Beard,1,1,1,3802.19,3802.19,41.0,3,2020-02-19,2020-02-19
Nolan-Kelley,1,1,1,45259.90,45259.85,41.0,5,2022-09-11,2022-09-11
Nolan-Khan,1,1,1,2172.65,2172.65,20.0,2,2021-11-30,2021-11-30
Nolan-Pena,2,1,1,93498.60,46749.28,84.5,21,2022-07-04,2022-07-04
Nolan-Sullivan,1,1,1,9950.34,9950.34,70.0,17,2019-07-11,2019-07-11
Nolan-Welch,1,1,1,24888.00,24887.99,82.0,24,2020-06-19,2020-06-19
"Nolan and Ellis White,",2,1,1,90658.10,45329.06,58.0,26,2023-03-27,2023-03-27
"Nolan and Herrera Leonard,",1,1,1,24087.70,24087.70,52.0,24,2022-10-24,2022-10-24
Nolan Group,1,1,1,1201.06,1201.06,48.0,8,2020-12-30,2020-12-30
Nolan Inc,2,1,1,28244.90,14122.45,72.5,21,2023-03-20,2023-03-20
"Nolan Mcdaniel and Robertson,",1,1,1,50208.20,50208.23,63.0,10,2022-09-08,2022-09-08
Nolan PLC,1,1,1,11343.90,11343.92,65.0,3,2022-05-25,2022-05-25
"Nolan, Morris and Wright",1,1,1,7442.86,7442.86,54.0,4,2022-08-21,2022-08-21
Norman-Flynn,1,1,1,13779.40,13779.40,49.0,23,2019-06-14,2019-06-14
Norman-Garcia,2,1,1,74062.90,37031.43,77.0,27,2022-09-09,2022-09-09
Norman-Gibson,1,1,1,17916.60,17916.59,66.0,12,2022-10-19,2022-10-19
Norman-Harmon,1,1,1,47881.70,47881.69,78.0,8,2021-03-19,2021-03-19
Norman-King,1,1,1,4686.80,4686.80,19.0,16,2021-09-06,2021-09-06
Norman-Pittman,1,1,1,28774.00,28773.99,27.0,11,2020-11-21,2020-11-21
Norman-Pope,1,1,1,42278.60,42278.57,70.0,27,2019-08-21,2019-08-21
Norman-Schmidt,1,1,1,44879.40,44879.41,51.0,16,2020-11-23,2020-11-23
Norman-Smith,1,1,1,17901.60,17901.60,61.0,3,2023-06-27,2023-06-27
Norman-Sullivan,1,1,1,24295.80,24295.76,79.0,6,2023-12-02,2023-12-02
Norman-West,1,1,1,5966.86,5966.86,53.0,29,2022-05-13,2022-05-13
Norman-Williams,1,1,1,20925.20,20925.19,40.0,24,2022-01-20,2022-01-20
"Norman Chapman Mejia, and",1,1,1,21436.10,21436.12,43.0,23,2023-09-25,2023-09-25
Norman Group,1,1,1,6799.86,6799.86,66.0,28,2023-07-21,2023-07-21
Norman Inc,1,1,1,22484.00,22483.99,27.0,13,2019-10-26,2019-10-26
Norman Ltd,2,1,1,86604.00,43302.01,27.5,6,2021-10-18,2021-10-18
Norman PLC,2,2,1,42137.50,21068.74,83.5,19,2020-02-21,2021-08-07
"Norman Riley and Torres,",1,1,1,31043.80,31043.80,71.0,21,2023-08-10,2023-08-10
Norman Sons and,1,1,1,34245.60,34245.58,60.0,19,2019-12-28,2019-12-28
"Norman Wilcox and Hughes,",1,1,1,36749.60,36749.64,70.0,18,2023-12-27,2023-12-27
"Norman, Coleman and Ford",1,1,1,6640.83,6640.83,55.0,7,2022-02-26,2022-02-26
"Norman, Garcia and Finley",2,1,1,66874.60,33437.31,39.0,3,2022-01-02,2022-01-02
"Norman, Moore Barnes and",1,1,1,42703.00,42703.00,41.0,17,2021-04-27,2021-04-27
"Norman, Young and Morrow",1,1,1,16792.20,16792.17,82.0,30,2022-05-19,2022-05-19
Norris-Alexander,1,1,1,16164.90,16164.90,78.0,27,2022-01-16,2022-01-16
Norris-Boyd,1,1,1,32495.70,32495.67,38.0,14,2023-07-08,2023-07-08
Norris-Chavez,1,1,1,29837.50,29837.46,82.0,27,2022-03-09,2022-03-09
Norris-Davies,1,1,1,7831.41,7831.41,51.0,12,2023-12-06,2023-12-06
Norris-Garcia,2,1,1,66414.10,33207.06,26.0,3,2023-08-18,2023-08-18
Norris-Grant,1,1,1,24172.70,24172.73,42.0,8,2019-06-01,2019-06-01
Norris-Graves,1,1,1,6136.13,6136.13,53.0,5,2023-07-18,2023-07-18
Norris-Hall,1,1,1,37026.80,37026.77,22.0,28,2019-12-31,2019-12-31
Norris-Higgins,2,2,2,78401.80,39200.88,38.5,18,2019-10-27,2023-02-11
Norris-Hill,1,1,1,26703.90,26703.87,84.0,12,2022-08-03,2022-08-03
Norris-Jackson,1,1,1,19339.40,19339.38,36.0,2,2023-09-22,2023-09-22
Norris-Lewis,1,1,1,10394.50,10394.46,43.0,13,2019-08-31,2019-08-31
Norris-Matthews,2,1,1,51423.40,25711.70,54.0,7,2022-04-25,2022-04-25
Norris-Parker,1,1,1,37934.50,37934.47,75.0,13,2021-12-19,2021-12-19
Norris-Roman,2,1,1,87777.40,43888.71,38.5,10,2019-08-08,2019-08-08
Norris-Scott,1,1,1,11031.50,11031.52,72.0,11,2020-03-22,2020-03-22
Norris-Smith,1,1,1,48025.50,48025.49,62.0,24,2019-08-20,2019-08-20
Norris-Walker,1,1,1,42328.30,42328.33,60.0,6,2020-09-09,2020-09-09
Norris-Wilson,1,1,1,18218.00,18218.00,40.0,3,2023-01-01,2023-01-01
"Norris Alexander and Huang,",1,1,1,10249.10,10249.08,56.0,10,2020-08-28,2020-08-28
"Norris and Baker, Robinson",1,1,1,37937.30,37937.27,70.0,14,2023-08-22,2023-08-22
"Norris Bell Adams, and",1,1,1,20994.70,20994.74,53.0,2,2022-09-23,2022-09-23
Norris Inc,1,1,1,24059.40,24059.37,77.0,27,2021-12-20,2021-12-20
"Norris Nielsen, Farley and",1,1,1,11293.60,11293.64,75.0,10,2022-03-16,2022-03-16
"Norris, and Diaz Howard",1,1,1,37172.10,37172.10,64.0,17,2022-12-02,2022-12-02
"Norris, and Jackson Shepherd",1,1,1,32313.00,32312.99,44.0,17,2019-06-03,2019-06-03
"Norris, Baker and Santos",1,1,1,6560.56,6560.56,49.0,14,2023-02-26,2023-02-26
"Norris, Brown Rich and",1,1,1,32711.10,32711.10,34.0,12,2022-05-16,2022-05-16
"Norris, Matthews and Khan",1,1,1,20329.90,20329.95,69.0,24,2021-02-22,2021-02-22
"Norris, Roman and Frazier",1,1,1,25274.90,25274.92,84.0,17,2022-12-04,2022-12-04
Norton-Brown,2,1,1,99507.30,49753.65,83.0,3,2023-06-17,2023-06-17
Norton-Copeland,1,1,1,41243.10,41243.15,66.0,7,2019-10-12,2019-10-12
Norton-Estes,1,1,1,23140.60,23140.62,74.0,1,2023-11-09,2023-11-09
Norton-Harper,1,1,1,35918.00,35917.97,45.0,26,2019-10-03,2019-10-03
Norton-Harris,1,1,1,43535.30,43535.32,83.0,3,2022-11-23,2022-11-23
Norton-Higgins,1,1,1,41121.40,41121.43,64.0,7,2021-05-10,2021-05-10
Norton-Johnson,1,1,1,15799.50,15799.45,36.0,19,2022-02-01,2022-02-01
Norton-Nelson,1,1,1,13625.00,13625.05,19.0,26,2022-09-10,2022-09-10
Norton-Phillips,1,1,1,3794.40,3794.40,58.0,4,2021-10-12,2021-10-12
Norton-White,1,1,1,29688.10,29688.11,64.0,17,2022-08-22,2022-08-22
"Norton and Cantu Summers,",1,1,1,44756.80,44756.79,81.0,24,2021-08-16,2021-08-16
"Norton and Kennedy, Ruiz",1,1,1,39127.70,39127.73,45.0,6,2023-10-08,2023-10-08
"Norton and Miranda Simmons,",1,1,1,39447.30,39447.33,43.0,23,2023-05-27,2023-05-27
"Norton Frazier Brown, and",1,1,1,22001.80,22001.80,84.0,14,2023-06-15,2023-06-15
"Norton Hill and Craig,",1,1,1,34451.90,34451.91,74.0,21,2019-10-23,2019-10-23
"Norton Keller, Cook and",1,1,1,38999.50,38999.54,46.0,30,2020-02-19,2020-02-19
Norton Ltd,1,1,1,45804.70,45804.68,72.0,14,2020-05-21,2020-05-21
"Norton Perez and Smith,",2,1,1,49762.30,24881.15,52.0,20,2021-07-04,2021-07-04
"Norton Ray Caldwell, and",1,1,1,26305.30,26305.26,39.0,25,2019-09-09,2019-09-09
"Norton Rice, Lester and",1,1,1,38250.90,38250.89,80.0,12,2019-12-05,2019-12-05
"Norton Wiley Clayton, and",1,1,1,24945.10,24945.14,62.0,15,2021-09-04,2021-09-04
"Norton, Davis and Padilla",1,1,1,30247.40,30247.37,83.0,30,2023-02-07,2023-02-07
"Norton, Hobbs and Fisher",1,1,1,10192.00,10192.02,48.0,29,2023-06-06,2023-06-06
"Norton, Poole and Sanchez",1,1,1,15537.10,15537.13,80.0,3,2019-10-31,2019-10-31
"Norton, Reese and Luna",1,1,1,28402.00,28401.98,49.0,7,2023-11-05,2023-11-05
Novak-Bates,1,1,1,10282.10,10282.10,56.0,6,2024-01-31,2024-01-31
Novak-Bradley,1,1,1,28820.70,28820.67,60.0,30,2022-02-24,2022-02-24
Novak-Garza,1,1,1,40263.30,40263.32,40.0,3,2023-12-26,2023-12-26
Novak-Gutierrez,1,1,1,30796.30,30796.31,70.0,8,2023-12-03,2023-12-03
Novak-Hodge,1,1,1,17906.90,17906.91,62.0,13,2020-09-15,2020-09-15
Novak-Richardson,1,1,1,44700.20,44700.25,59.0,23,2021-07-02,2021-07-02
Novak-Russell,1,1,1,25552.50,25552.52,85.0,24,2023-04-10,2023-04-10
"Novak and Kirby Thompson,",1,1,1,44299.70,44299.67,52.0,8,2019-08-10,2019-08-10
"Novak and Lucas Pollard,",1,1,1,17871.30,17871.33,26.0,26,2021-03-15,2021-03-15
Novak Group,1,1,1,45032.30,45032.32,18.0,9,2020-09-21,2020-09-21
Novak Inc,1,1,1,43423.80,43423.79,35.0,21,2021-10-02,2021-10-02
Novak LLC,2,2,2,39009.10,19504.56,63.5,9,2020-07-06,2021-11-07
Novak PLC,2,1,1,78526.70,39263.35,69.0,23,2022-06-18,2022-06-18
"Novak, Green and Weaver",1,1,1,43500.20,43500.18,21.0,2,2021-07-27,2021-07-27
"Novak, Smith and Graves",2,1,1,68797.00,34398.49,56.5,3,2022-08-22,2022-08-22
Nunez-Anderson,1,1,1,37052.60,37052.62,21.0,6,2019-09-22,2019-09-22
Nunez-Barrera,1,1,1,40891.00,40890.98,30.0,20,2020-09-08,2020-09-08
Nunez-Bush,1,1,1,48808.80,48808.80,35.0,15,2023-02-09,2023-02-09
Nunez-Dunn,1,1,1,3944.49,3944.49,65.0,15,2021-07-07,2021-07-07
Nunez-Gibbs,1,1,1,23913.70,23913.66,55.0,21,2023-01-20,2023-01-20
Nunez-Hamilton,1,1,1,40446.10,40446.09,64.0,28,2021-03-09,2021-03-09
Nunez-Humphrey,1,1,1,48145.10,48145.11,36.0,4,2023-12-20,2023-12-20
Nunez-King,2,1,1,38427.80,19213.90,66.0,17,2022-07-21,2022-07-21
Nunez-Leon,1,1,1,42272.40,42272.45,51.0,26,2019-12-28,2019-12-28
Nunez-Lyons,2,1,1,31499.30,15749.66,58.0,27,2020-09-13,2020-09-13
Nunez-Medina,1,1,1,14761.70,14761.72,32.0,29,2020-01-11,2020-01-11
Nunez-Reed,1,1,1,17841.90,17841.89,64.0,3,2020-08-25,2020-08-25
"Nunez Carter Jefferson, and",1,1,1,96.00,96.00,33.0,6,2021-05-06,2021-05-06
"Nunez Cisneros and Cook,",1,1,1,42152.80,42152.82,69.0,30,2022-05-09,2022-05-09
"Nunez Dennis, Kim and",1,1,1,8753.37,8753.37,19.0,1,2019-09-24,2019-09-24
"Nunez Greene Kemp, and",1,1,1,12766.40,12766.36,21.0,20,2022-11-16,2022-11-16
Nunez Group,1,1,1,4340.50,4340.50,45.0,18,2020-08-10,2020-08-10
Nunez PLC,1,1,1,24785.10,24785.12,84.0,9,2022-08-20,2022-08-20
"Nunez Stanley, and Peterson",1,1,1,28079.80,28079.83,75.0,20,2021-03-25,2021-03-25
"Nunez Tanner and Murray,",1,1,1,7216.85,7216.85,82.0,25,2021-01-23,2021-01-23
"Nunez Taylor Nguyen, and",1,1,1,27684.00,27683.98,40.0,9,2020-12-03,2020-12-03
"Nunez, and Brown Mcdaniel",1,1,1,10514.90,10514.88,79.0,4,2021-11-11,2021-11-11
"Nunez, and Garza Sellers",2,1,1,64678.00,32339.00,84.5,30,2020-10-03,2020-10-03
"Nunez, Hicks and Gibbs",1,1,1,24105.40,24105.36,29.0,15,2023-03-14,2023-03-14
"Nunez, Johnson and Smith",1,1,1,12890.50,12890.47,84.0,27,2019-12-19,2019-12-19
"Nunez, Potts and Green",1,1,1,14689.60,14689.59,43.0,21,2022-01-15,2022-01-15
"Nunez, Sanchez and French",1,1,1,42775.70,42775.73,69.0,9,2022-08-20,2022-08-20
Obrien-Bowman,1,1,1,15841.60,15841.56,82.0,22,2022-06-27,2022-06-27
Obrien-Colon,1,1,1,47569.50,47569.49,53.0,16,2024-01-01,2024-01-01
Obrien-Dalton,1,1,1,11847.10,11847.08,31.0,11,2021-09-04,2021-09-04
Obrien-Fields,2,1,1,51661.50,25830.76,77.0,8,2019-06-04,2019-06-04
Obrien-Gallagher,1,1,1,2530.24,2530.24,63.0,7,2020-11-14,2020-11-14
Obrien-Galloway,1,1,1,3618.04,3618.04,65.0,20,2020-03-29,2020-03-29
Obrien-Gilbert,1,1,1,33649.40,33649.40,20.0,12,2022-09-19,2022-09-19
Obrien-Harvey,1,1,1,47499.60,47499.60,21.0,13,2022-11-09,2022-11-09
Obrien-Huffman,1,1,1,32013.20,32013.16,50.0,7,2020-01-01,2020-01-01
Obrien-Knight,1,1,1,1950.76,1950.76,32.0,23,2019-09-05,2019-09-05
Obrien-Lambert,1,1,1,21037.90,21037.95,35.0,30,2023-10-29,2023-10-29
Obrien-Munoz,1,1,1,39467.90,39467.87,60.0,30,2022-03-30,2022-03-30
Obrien-Nguyen,1,1,1,37022.10,37022.09,66.0,11,2023-09-16,2023-09-16
Obrien-Noble,1,1,1,41010.10,41010.10,58.0,13,2021-06-07,2021-06-07
Obrien-Peterson,1,1,1,20876.70,20876.72,22.0,28,2021-09-11,2021-09-11
Obrien-Prince,1,1,1,49259.20,49259.22,85.0,22,2021-02-13,2021-02-13
Obrien-Richards,1,1,1,29504.60,29504.64,65.0,1,2019-09-19,2019-09-19
Obrien-Ruiz,1,1,1,15035.00,15035.04,37.0,4,2021-11-10,2021-11-10
Obrien-Smith,1,1,1,16326.50,16326.49,51.0,17,2022-08-25,2022-08-25
Obrien-Sutton,1,1,1,39167.40,39167.43,27.0,21,2020-07-23,2020-07-23
Obrien-Thomas,1,1,1,39009.50,39009.49,24.0,13,2022-07-08,2022-07-08
Obrien-Weeks,1,1,1,24088.40,24088.38,45.0,7,2023-12-27,2023-12-27
Obrien-Wood,1,1,1,21922.30,21922.34,60.0,3,2023-05-12,2023-05-12
"Obrien and Adams Wagner,",1,1,1,6359.95,6359.95,30.0,23,2019-12-10,2019-12-10
"Obrien and George, Miller",1,1,1,40030.60,40030.55,30.0,27,2021-05-18,2021-05-18
"Obrien and Snyder, Rodriguez",1,1,1,45441.80,45441.79,46.0,12,2020-02-27,2020-02-27
Obrien and Sons,1,1,1,30907.00,30907.00,68.0,20,2024-02-03,2024-02-03
"Obrien Elliott Butler, and",1,1,1,34819.70,34819.72,36.0,28,2021-08-20,2021-08-20
Obrien Group,2,2,2,63637.80,31818.88,46.0,8,2019-07-08,2020-06-15
"Obrien Hammond, Martin and",1,1,1,10645.00,10645.01,76.0,15,2023-03-20,2023-03-20
Obrien Inc,1,1,1,15605.90,15605.90,52.0,28,2023-06-29,2023-06-29
"Obrien Lambert and Frazier,",2,1,1,19367.20,9683.58,48.0,25,2023-06-19,2023-06-19
"Obrien Lewis Anderson, and",1,1,1,12631.50,12631.49,33.0,8,2022-09-22,2022-09-22
Obrien LLC,2,2,2,51348.70,25674.33,30.5,2,2020-08-04,2022-09-22
Obrien Ltd,1,1,1,22183.80,22183.75,38.0,8,2023-07-11,2023-07-11
"Obrien Mckenzie, Carey and",1,1,1,43317.50,43317.50,62.0,28,2020-11-26,2020-11-26
"Obrien Morales Oneill, and",1,1,1,14749.90,14749.87,79.0,30,2020-05-10,2020-05-10
Obrien PLC,6,5,3,85047.10,14174.52,52.2,19,2019-07-20,2023-02-21
"Obrien Robertson, and Mcguire",1,1,1,46527.90,46527.89,46.0,4,2020-10-03,2020-10-03
"Obrien Smith, Rogers and",1,1,1,8779.66,8779.66,38.0,7,2023-06-21,2023-06-21
Obrien Sons and,2,2,2,43825.80,21912.89,29.5,8,2020-10-17,2023-06-20
"Obrien White, and Stout",1,1,1,21868.20,21868.23,82.0,19,2020-05-16,2020-05-16
"Obrien, and Chapman Baker",1,1,1,19840.90,19840.86,64.0,10,2022-12-31,2022-12-31
"Obrien, Chase Collins and",1,1,1,28565.60,28565.63,20.0,22,2021-06-28,2021-06-28
"Obrien, Ross and Curtis",1,1,1,8115.72,8115.72,63.0,22,2023-12-26,2023-12-26
Ochoa-Edwards,1,1,1,9585.07,9585.07,22.0,21,2019-12-31,2019-12-31
Ochoa-Elliott,1,1,1,15116.80,15116.84,77.0,22,2022-08-31,2022-08-31
Ochoa-Jennings,1,1,1,11320.50,11320.45,78.0,21,2023-11-19,2023-11-19
Ochoa-Rhodes,1,1,1,31352.10,31352.11,68.0,21,2023-03-24,2023-03-24
Ochoa-Williams,1,1,1,41209.00,41209.00,51.0,7,2021-11-10,2021-11-10
"Ochoa and Anderson Mendez,",1,1,1,22746.70,22746.66,25.0,8,2024-05-04,2024-05-04
"Ochoa and Fisher White,",1,1,1,6912.75,6912.75,36.0,21,2021-12-30,2021-12-30
"Ochoa and Hall, Ramos",1,1,1,19717.70,19717.68,24.0,22,2023-07-14,2023-07-14
"Ochoa and Lopez Chandler,",1,1,1,47609.70,47609.72,25.0,1,2019-10-14,2019-10-14
Ochoa and Sons,1,1,1,47398.80,47398.82,44.0,9,2021-11-08,2021-11-08
"Ochoa Beck and Parker,",1,1,1,41465.00,41465.02,69.0,6,2023-08-15,2023-08-15
"Ochoa Cross, Elliott and",1,1,1,48707.50,48707.53,67.0,2,2019-05-23,2019-05-23
"Ochoa Garner, and Byrd",1,1,1,43108.20,43108.22,83.0,2,2019-08-30,2019-08-30
Ochoa Group,1,1,1,34807.60,34807.55,67.0,11,2023-01-03,2023-01-03
