"Hospital","Medical Condition","patient_count","average_patient_age","total_billing_amount","average_billing_amount","average_length_of_stay"
PLC Coleman,Diabetes,1,22,30656.50,30656.54,30
PLC Coleman,Hypertension,1,59,9241.87,9241.87,29
PLC Collins,Arthritis,1,25,21114.70,21114.71,17
PLC Collins,Cancer,1,29,14102.80,14102.85,24
PLC Collins,Diabetes,1,56,48654.70,48654.70,24
PLC Colon,Obesity,1,44,10622.00,10622.05,2
PLC Combs,Cancer,1,23,3369.71,3369.71,19
PLC Conner,Arthritis,1,35,7662.51,7662.51,4
PLC Conner,Diabetes,1,47,50063.80,50063.82,20
PLC Conner,Hypertension,2,63,13757.00,6878.50,11
PLC Conrad,Cancer,1,39,9626.16,9626.16,29
PLC Conrad,Diabetes,2,59,81125.90,40562.94,22
PLC Conway,Asthma,1,66,4654.65,4654.65,16
PLC Conway,Diabetes,2,80,56212.20,28106.08,4
PLC Cook,Arthritis,1,30,13657.10,13657.14,2
PLC Cook,Asthma,1,51,6949.88,6949.88,18
PLC Cook,Cancer,1,71,39871.70,39871.67,21
PLC Cook,Diabetes,4,52,117192.00,29298.06,14
PLC Cook,Hypertension,1,34,38484.80,38484.83,16
PLC Cooper,Asthma,1,39,10607.50,10607.47,23
PLC Cooper,Hypertension,1,84,24285.30,24285.28,2
PLC Cox,Arthritis,1,76,49068.30,49068.33,1
PLC Cox,Diabetes,1,50,17549.40,17549.39,10
PLC Cox,Hypertension,1,85,2284.43,2284.43,2
PLC Cox,Obesity,1,66,44870.70,44870.68,3
PLC Crawford,Diabetes,1,41,30295.90,30295.92,21
PLC Cruz,Asthma,1,37,12832.70,12832.67,6
PLC Cruz,Cancer,1,34,4696.22,4696.22,4
PLC Cruz,Diabetes,1,35,21495.40,21495.44,7
PLC Cruz,Hypertension,1,30,19133.20,19133.23,10
PLC Cruz,Obesity,3,26,88888.90,29629.63,18
PLC Cummings,Arthritis,1,45,19233.50,19233.46,20
PLC Cunningham,Arthritis,1,56,20077.40,20077.37,24
PLC Curtis,Cancer,2,68,57568.50,28784.26,27
PLC Curtis,Obesity,1,60,10240.70,10240.72,22
PLC Daniel,Arthritis,1,60,46307.90,46307.85,19
PLC Daniel,Asthma,1,18,5424.55,5424.55,4
PLC Daniels,Obesity,1,22,25581.20,25581.19,17
PLC Daugherty,Obesity,2,57,88776.40,44388.18,20
PLC Davidson,Arthritis,1,76,31209.60,31209.64,27
PLC Davis,Arthritis,4,55,63159.30,15789.81,24
PLC Davis,Cancer,6,47,81879.60,13646.59,14
PLC Davis,Diabetes,1,26,48950.10,48950.10,8
PLC Davis,Hypertension,2,58,42262.30,21131.14,13
PLC Davis,Obesity,4,29,72663.00,18165.76,12
PLC Dean,Arthritis,1,81,37874.60,37874.65,6
PLC Dean,Diabetes,1,65,4234.85,4234.85,19
PLC Deleon,Diabetes,1,55,34051.60,34051.64,20
PLC Deleon,Hypertension,1,66,40541.90,40541.90,29
PLC Delgado,Obesity,2,54,84751.70,42375.83,4
PLC Dennis,Asthma,1,30,40321.40,40321.43,30
PLC Dennis,Diabetes,1,71,15163.40,15163.37,27
PLC Diaz,Arthritis,1,78,5197.63,5197.63,7
PLC Diaz,Obesity,1,38,30663.30,30663.34,27
PLC Dickerson,Cancer,1,59,44748.20,44748.17,15
PLC Dillon,Asthma,1,28,7906.01,7906.01,29
PLC Dixon,Arthritis,1,75,45980.30,45980.29,13
PLC Dixon,Obesity,2,53,42668.10,21334.03,5
PLC Dominguez,Arthritis,1,77,38363.20,38363.22,29
PLC Dorsey,Cancer,1,50,15013.80,15013.78,15
PLC Dorsey,Diabetes,1,60,47791.80,47791.76,19
PLC Dougherty,Diabetes,1,58,6774.10,6774.10,15
PLC Dougherty,Hypertension,1,25,1979.71,1979.71,11
PLC Doyle,Obesity,1,24,6684.90,6684.90,1
PLC Drake,Arthritis,1,69,28922.90,28922.86,27
PLC Drake,Obesity,1,68,6363.75,6363.75,7
PLC Duncan,Asthma,2,47,23506.00,11753.02,17
PLC Duncan,Cancer,1,38,30338.30,30338.35,5
PLC Duncan,Diabetes,1,57,50227.50,50227.53,12
PLC Dunn,Cancer,1,34,34765.20,34765.18,19
PLC Duran,Arthritis,2,80,68834.60,34417.28,24
PLC Duran,Obesity,1,22,33615.60,33615.63,17
PLC Eaton,Diabetes,1,33,35087.60,35087.57,9
PLC Edwards,Diabetes,2,75,32865.40,16432.68,11
PLC Elliott,Cancer,1,67,4532.48,4532.48,2
PLC Ellis,Asthma,1,69,36351.30,36351.27,4
PLC Ellis,Cancer,1,65,14580.10,14580.11,24
PLC Ellis,Hypertension,1,76,9490.93,9490.93,30
PLC English,Cancer,1,46,18311.70,18311.67,26
PLC Erickson,Obesity,1,54,29418.70,29418.72,15
PLC Espinoza,Diabetes,1,33,23902.50,23902.54,23
PLC Estrada,Hypertension,3,38,38318.80,12772.92,16
PLC Evans,Asthma,1,76,11700.30,11700.27,29
PLC Evans,Diabetes,2,53,69090.50,34545.25,16
PLC Evans,Obesity,1,55,11123.30,11123.28,27
PLC Farrell,Asthma,1,54,8897.15,8897.15,6
PLC Fernandez,Arthritis,1,50,30623.20,30623.17,17
PLC Fernandez,Asthma,1,59,25743.50,25743.47,12
PLC Fernandez,Obesity,1,82,26718.60,26718.57,4
PLC Ferrell,Cancer,1,50,32731.70,32731.73,23
PLC Figueroa,Hypertension,1,25,32628.90,32628.88,1
PLC Fischer,Arthritis,1,21,44456.00,44455.98,2
PLC Fisher,Arthritis,2,47,61119.90,30559.97,16
PLC Fisher,Diabetes,1,74,8671.91,8671.91,15
PLC Fisher,Hypertension,1,38,15636.90,15636.92,27
PLC Fisher,Obesity,2,64,39868.90,19934.44,17
PLC Fitzpatrick,Cancer,1,43,4026.49,4026.49,26
PLC Fleming,Arthritis,1,45,13427.70,13427.68,8
PLC Flores,Asthma,1,26,44723.20,44723.16,2
PLC Flores,Diabetes,2,64,78509.20,39254.62,13
PLC Flores,Hypertension,1,22,43613.60,43613.63,26
PLC Flowers,Diabetes,1,22,33757.70,33757.71,14
PLC Floyd,Hypertension,2,35,32143.60,16071.78,22
PLC Ford,Cancer,1,25,9982.94,9982.94,10
PLC Foster,Obesity,1,48,45531.70,45531.68,10
PLC Fox,Asthma,1,67,3632.10,3632.10,26
PLC Fox,Hypertension,1,69,7902.42,7902.42,28
PLC Franco,Diabetes,1,67,1842.74,1842.74,23
PLC Frazier,Asthma,1,37,5961.54,5961.54,1
PLC Frazier,Diabetes,1,69,15434.40,15434.40,14
PLC Freeman,Obesity,2,64,36701.90,18350.92,14
PLC French,Asthma,1,59,13550.10,13550.12,24
PLC Fritz,Cancer,1,64,14024.00,14023.96,11
PLC Fritz,Hypertension,1,75,45571.80,45571.82,22
PLC Fritz,Obesity,2,49,77052.00,38526.00,27
PLC Fry,Diabetes,1,82,33213.60,33213.60,3
PLC Gaines,Asthma,1,84,44452.70,44452.67,1
PLC Gaines,Diabetes,1,85,36990.20,36990.19,5
PLC Gallagher,Cancer,1,79,17908.80,17908.78,12
PLC Gallegos,Obesity,2,66,47495.20,23747.58,8
PLC Galloway,Hypertension,1,51,5524.41,5524.41,13
PLC Gamble,Arthritis,1,28,44625.00,44625.00,19
PLC Garcia,Asthma,1,36,15871.30,15871.30,15
PLC Garcia,Cancer,3,47,87875.90,29291.97,22
PLC Garcia,Diabetes,3,71,72803.00,24267.65,23
PLC Garcia,Hypertension,2,66,43135.50,21567.74,27
PLC Garcia,Obesity,2,71,52843.80,26421.88,28
PLC Gardner,Obesity,1,64,19942.70,19942.66,17
PLC Garner,Asthma,1,42,52181.80,52181.84,7
PLC Garner,Cancer,2,32,34202.90,17101.43,23
PLC Garza,Arthritis,1,47,33959.20,33959.18,2
PLC Garza,Diabetes,1,38,50604.70,50604.73,6
PLC Garza,Hypertension,1,60,23488.40,23488.43,16
PLC Garza,Obesity,1,36,20153.60,20153.59,29
PLC Gates,Cancer,1,82,46052.70,46052.70,3
PLC Gay,Obesity,1,56,6773.83,6773.83,30
PLC Gibson,Hypertension,1,81,21500.90,21500.86,9
PLC Gibson,Obesity,1,60,27950.30,27950.35,3
PLC Gilbert,Diabetes,1,53,17149.50,17149.51,13
PLC Gill,Asthma,2,51,56228.80,28114.39,24
PLC Gillespie,Hypertension,1,69,41057.80,41057.76,29
PLC Gilmore,Cancer,1,21,23049.10,23049.08,27
PLC Glass,Hypertension,1,59,31864.20,31864.19,28
PLC Glass,Obesity,1,45,19667.00,19667.00,29
PLC Glover,Hypertension,1,49,33338.70,33338.73,23
PLC Glover,Obesity,1,30,10047.50,10047.55,20
PLC Gomez,Arthritis,1,39,24615.90,24615.88,4
PLC Gomez,Hypertension,1,49,49516.40,49516.43,16
PLC Gonzales,Arthritis,1,46,36689.80,36689.80,26
PLC Gonzales,Hypertension,4,55,119804.00,29951.11,25
PLC Gonzalez,Arthritis,1,35,47998.90,47998.89,7
PLC Gonzalez,Cancer,2,41,65904.90,32952.43,26
PLC Gonzalez,Diabetes,3,55,67108.00,22369.34,15
PLC Gonzalez,Hypertension,1,23,22561.60,22561.62,5
PLC Goodman,Asthma,2,47,80681.90,40340.94,4
PLC Goodman,Cancer,1,24,17703.70,17703.65,20
PLC Goodman,Obesity,1,80,24744.60,24744.64,20
PLC Goodwin,Diabetes,1,62,20988.30,20988.26,13
PLC Gordon,Cancer,3,46,57133.70,19044.56,11
PLC Gordon,Hypertension,1,82,48693.30,48693.31,5
PLC Graham,Diabetes,1,49,43665.50,43665.46,17
PLC Grant,Cancer,1,44,48786.60,48786.64,17
PLC Grant,Diabetes,2,66,41692.40,20846.18,26
PLC Graves,Arthritis,2,75,34840.10,17420.04,27
PLC Gray,Arthritis,1,54,44429.20,44429.24,30
PLC Gray,Asthma,1,33,41954.70,41954.67,30
PLC Green,Asthma,1,79,38164.20,38164.18,13
PLC Green,Cancer,2,42,51072.50,25536.27,7
PLC Green,Diabetes,1,78,3989.86,3989.86,17
PLC Green,Hypertension,3,55,144639.00,48212.99,7
PLC Green,Obesity,3,35,72496.40,24165.48,11
PLC Greene,Arthritis,1,62,24626.50,24626.49,4
PLC Griffin,Arthritis,2,64,57542.80,28771.38,21
PLC Grimes,Asthma,1,75,35495.60,35495.61,5
PLC Grimes,Obesity,1,37,20396.10,20396.10,2
PLC Guerra,Hypertension,2,60,18507.60,9253.78,26
PLC Guerrero,Arthritis,1,66,16302.20,16302.23,16
PLC Gutierrez,Arthritis,2,37,12094.00,6046.99,18
PLC Gutierrez,Asthma,2,56,75661.60,37830.80,16
PLC Gutierrez,Hypertension,1,31,43830.20,43830.23,23
PLC Gutierrez,Obesity,1,26,19934.70,19934.70,11
PLC Hahn,Cancer,1,84,23433.60,23433.63,4
PLC Hale,Arthritis,1,83,29849.00,29849.04,23
PLC Hale,Diabetes,1,73,32773.80,32773.82,3
PLC Hall,Diabetes,1,51,13304.80,13304.75,12
PLC Hall,Hypertension,1,30,18980.10,18980.10,20
PLC Hall,Obesity,2,51,45104.70,22552.33,3
PLC Hamilton,Arthritis,2,47,51987.00,25993.50,28
PLC Hamilton,Obesity,1,63,44385.70,44385.72,24
PLC Hampton,Cancer,2,31,39376.10,19688.03,5
PLC Hancock,Obesity,1,19,45850.10,45850.05,10
PLC Haney,Arthritis,1,47,17353.80,17353.79,20
PLC Haney,Obesity,1,18,16572.60,16572.58,16
PLC Hanna,Asthma,1,36,32385.60,32385.60,28
PLC Hanson,Cancer,1,56,35114.40,35114.43,23
PLC Hanson,Diabetes,1,29,38653.30,38653.28,17
PLC Hanson,Hypertension,1,70,1875.32,1875.32,16
PLC Hanson,Obesity,1,65,37560.50,37560.47,8
PLC Hardin,Asthma,1,42,7522.66,7522.66,9
PLC Hardy,Cancer,3,54,57989.00,19329.66,14
PLC Harper,Arthritis,2,51,62320.70,31160.34,13
PLC Harper,Hypertension,3,40,83785.40,27928.48,21
PLC Harrell,Asthma,1,52,8780.14,8780.14,30
PLC Harrell,Hypertension,2,81,93880.10,46940.07,24
PLC Harris,Arthritis,1,58,6985.90,6985.90,10
PLC Harris,Asthma,2,34,67855.60,33927.81,5
PLC Harris,Cancer,2,44,66186.80,33093.42,16
PLC Harris,Hypertension,3,48,105034.00,35011.17,19
PLC Harris,Obesity,2,28,33356.40,16678.22,26
PLC Harrison,Arthritis,1,75,29641.00,29641.01,21
PLC Harrison,Asthma,1,66,43100.80,43100.75,18
PLC Harrison,Cancer,1,34,33232.60,33232.58,13
PLC Harrison,Hypertension,2,52,66775.50,33387.76,12
PLC Hart,Asthma,2,55,51003.60,25501.81,16
PLC Hart,Cancer,2,82,26512.50,13256.24,5
PLC Hart,Diabetes,1,30,33800.80,33800.81,26
PLC Hawkins,Arthritis,1,21,13163.30,13163.33,25
PLC Hawkins,Asthma,1,46,1492.59,1492.59,20
PLC Hawkins,Hypertension,1,49,27278.60,27278.58,30
PLC Hawkins,Obesity,1,22,8831.51,8831.51,23
PLC Hayes,Cancer,1,48,32223.60,32223.60,22
PLC Hayes,Diabetes,1,57,6640.08,6640.08,22
PLC Hayes,Obesity,1,34,23314.40,23314.43,5
PLC Haynes,Cancer,1,37,4042.57,4042.57,7
PLC Henderson,Cancer,1,40,49757.80,49757.80,30
PLC Hensley,Arthritis,1,37,29862.20,29862.20,8
PLC Hensley,Obesity,1,46,28865.40,28865.38,10
PLC Herman,Hypertension,1,50,35465.80,35465.79,27
PLC Hernandez,Arthritis,1,25,2298.14,2298.14,30
PLC Hernandez,Cancer,1,69,28095.80,28095.80,22
PLC Hernandez,Diabetes,2,24,95749.90,47874.97,25
PLC Hernandez,Obesity,3,77,49377.40,16459.12,14
PLC Herrera,Asthma,1,63,30709.20,30709.19,20
PLC Herrera,Obesity,1,41,37361.70,37361.71,30
PLC Herring,Hypertension,1,22,2165.22,2165.22,20
PLC Hicks,Arthritis,1,31,20308.40,20308.42,28
PLC Hicks,Cancer,1,43,5455.86,5455.86,11
PLC Hicks,Diabetes,1,84,7477.75,7477.75,26
PLC Hicks,Hypertension,2,48,35855.90,17927.96,2
PLC Hill,Arthritis,1,35,2299.30,2299.30,8
PLC Hill,Asthma,3,48,61677.70,20559.23,7
PLC Hill,Diabetes,3,38,46862.30,15620.76,9
PLC Hill,Hypertension,2,59,15837.00,7918.49,10
PLC Hinton,Diabetes,1,84,43651.60,43651.55,28
PLC Hodge,Diabetes,1,36,26196.40,26196.37,16
PLC Hodge,Hypertension,1,46,23537.70,23537.74,18
PLC Hodges,Arthritis,2,58,32164.60,16082.28,19
PLC Hoffman,Arthritis,1,85,36307.50,36307.54,4
PLC Holland,Asthma,1,49,23276.10,23276.12,16
PLC Holmes,Diabetes,1,26,29283.60,29283.60,5
PLC Holt,Asthma,1,52,32707.70,32707.74,13
PLC Hood,Hypertension,1,38,34865.10,34865.15,25
PLC Hoover,Hypertension,1,56,13293.20,13293.24,13
PLC Howard,Arthritis,1,47,22529.80,22529.84,13
PLC Howe,Arthritis,2,38,20820.10,10410.04,11
PLC Howell,Obesity,1,34,17669.60,17669.63,25
PLC Huang,Asthma,1,59,39305.10,39305.13,9
PLC Huang,Hypertension,1,52,49059.10,49059.06,15
PLC Hudson,Obesity,1,73,37242.30,37242.27,21
PLC Huff,Obesity,1,72,19565.90,19565.88,22
PLC Hughes,Cancer,1,69,20598.50,20598.50,26
PLC Hughes,Hypertension,2,20,49645.40,24822.70,6
PLC Hughes,Obesity,1,32,32007.10,32007.08,16
PLC Hull,Arthritis,2,24,60607.00,30303.50,9
PLC Hull,Diabetes,1,29,35630.30,35630.32,23
PLC Hunt,Hypertension,1,60,3088.71,3088.71,11
PLC Hunt,Obesity,1,79,12412.10,12412.11,25
PLC Hunter,Obesity,2,79,11206.20,5603.10,17
PLC Hurley,Asthma,2,60,68539.30,34269.65,12
PLC Jackson,Arthritis,2,25,75869.20,37934.59,3
PLC Jackson,Asthma,2,72,68265.70,34132.83,11
PLC Jackson,Diabetes,1,78,20675.80,20675.84,6
PLC Jackson,Hypertension,2,54,83687.90,41843.95,14
PLC Jackson,Obesity,3,29,113271.00,37757.04,5
PLC Jacobs,Arthritis,1,51,35601.70,35601.73,15
PLC Jacobs,Diabetes,1,72,6899.39,6899.39,17
PLC Jacobs,Obesity,1,35,36918.10,36918.08,11
PLC Jacobson,Hypertension,1,70,19513.80,19513.76,2
PLC James,Arthritis,1,54,17173.20,17173.15,15
PLC James,Cancer,1,21,21205.70,21205.74,5
PLC James,Diabetes,1,22,6879.34,6879.34,8
PLC Jarvis,Obesity,1,27,32600.30,32600.26,14
PLC Jefferson,Cancer,1,62,30953.50,30953.51,1
PLC Jefferson,Diabetes,1,48,42318.40,42318.35,24
PLC Jenkins,Diabetes,1,27,16059.70,16059.68,6
PLC Jenkins,Hypertension,1,42,8250.15,8250.15,28
PLC Jenkins,Obesity,1,56,18564.70,18564.70,11
PLC Jennings,Asthma,1,35,32955.40,32955.36,13
PLC Jennings,Obesity,1,73,36967.90,36967.89,6
PLC Jensen,Asthma,1,40,1412.69,1412.69,17
PLC Jimenez,Cancer,1,19,49833.70,49833.71,22
PLC Jimenez,Hypertension,1,73,27039.00,27038.99,2
PLC Johns,Arthritis,1,57,47464.10,47464.12,25
PLC Johnson,Arthritis,2,21,32410.30,16205.15,20
PLC Johnson,Asthma,3,51,69313.90,23104.64,24
PLC Johnson,Cancer,1,84,43581.60,43581.57,26
PLC Johnson,Diabetes,3,39,115101.00,38366.94,13
PLC Johnson,Hypertension,1,50,31521.90,31521.95,15
PLC Johnson,Obesity,6,56,145465.00,24244.15,24
PLC Jones,Asthma,1,31,42318.50,42318.48,3
PLC Jones,Cancer,4,41,112704.00,28175.98,11
PLC Jones,Diabetes,7,43,118074.00,16867.77,18
PLC Jones,Hypertension,2,31,14593.50,7296.74,14
PLC Jones,Obesity,2,37,37479.90,18739.96,9
PLC Jordan,Arthritis,2,84,94324.90,47162.45,1
PLC Jordan,Cancer,1,26,32740.10,32740.07,11
PLC Jordan,Diabetes,1,70,20420.80,20420.76,11
PLC Joseph,Hypertension,2,74,48580.90,24290.44,12
PLC Juarez,Hypertension,1,76,48748.70,48748.70,16
PLC Kane,Obesity,1,72,7077.99,7077.99,22
PLC Kaufman,Obesity,1,82,34132.90,34132.91,13
PLC Keller,Cancer,1,59,10429.70,10429.68,14
PLC Keller,Obesity,1,18,6130.44,6130.44,12
PLC Kelly,Arthritis,1,70,4191.96,4191.96,4
PLC Kelly,Asthma,2,54,40277.70,20138.85,18
PLC Kelly,Diabetes,2,47,59205.50,29602.75,27
PLC Key,Obesity,2,33,38794.40,19397.22,19
PLC Kidd,Arthritis,1,82,843.14,843.14,29
PLC Kim,Asthma,1,58,24122.00,24122.02,7
PLC Kim,Obesity,2,64,70039.10,35019.57,19
PLC King,Arthritis,2,64,71089.90,35544.96,15
PLC King,Cancer,1,61,49882.20,49882.19,3
PLC Kirby,Asthma,2,27,28151.50,14075.75,20
PLC Klein,Arthritis,1,53,7495.62,7495.62,11
PLC Klein,Asthma,1,65,27409.50,27409.53,23
PLC Kline,Diabetes,1,41,35350.30,35350.30,20
PLC Knight,Asthma,1,53,20137.70,20137.72,23
PLC Knight,Hypertension,1,74,47689.80,47689.82,21
PLC Kramer,Asthma,1,55,39482.70,39482.72,24
PLC Lam,Asthma,1,21,44893.30,44893.34,10
PLC Lam,Diabetes,1,40,9734.54,9734.54,13
PLC Landry,Diabetes,1,58,30578.90,30578.86,7
PLC Landry,Hypertension,1,59,48181.60,48181.58,26
PLC Lane,Obesity,1,49,41480.80,41480.79,28
PLC Larsen,Diabetes,1,64,6224.10,6224.10,20
PLC Larson,Obesity,1,38,21808.80,21808.82,24
PLC Lawson,Diabetes,1,73,4217.50,4217.50,17
PLC Le,Asthma,1,75,29394.50,29394.53,2
PLC Leach,Asthma,1,31,12154.60,12154.63,9
PLC Leach,Cancer,1,56,48292.00,48292.03,28
PLC Leach,Obesity,1,68,20481.10,20481.11,28
PLC Leblanc,Cancer,1,76,29335.00,29334.97,2
PLC Lee,Arthritis,1,24,28030.70,28030.70,25
PLC Lee,Cancer,1,76,13142.30,13142.31,29
PLC Lee,Diabetes,1,28,25496.60,25496.58,19
PLC Lee,Hypertension,1,26,9592.33,9592.33,4
PLC Lewis,Arthritis,4,57,91078.80,22769.71,14
PLC Lewis,Asthma,4,33,53809.20,13452.31,27
PLC Lewis,Cancer,3,41,86958.90,28986.30,17
PLC Lewis,Diabetes,1,43,33540.40,33540.36,19
PLC Lewis,Hypertension,1,37,29008.20,29008.16,24
PLC Lindsey,Obesity,1,79,22124.30,22124.33,27
PLC Little,Diabetes,1,61,28362.90,28362.91,22
PLC Livingston,Arthritis,1,23,31947.00,31946.96,6
PLC Logan,Asthma,2,44,80682.60,40341.32,8
PLC Logan,Hypertension,1,56,13452.00,13452.02,17
PLC Long,Cancer,1,53,38407.80,38407.76,9
PLC Long,Hypertension,1,79,49919.20,49919.23,8
PLC Lopez,Arthritis,3,50,92616.40,30872.12,14
PLC Lopez,Asthma,1,74,25193.20,25193.20,26
PLC Lopez,Diabetes,1,44,4019.04,4019.04,24
PLC Lopez,Hypertension,4,59,85495.50,21373.87,16
PLC Lopez,Obesity,2,76,6374.99,3187.49,15
PLC Love,Cancer,1,36,33971.50,33971.47,27
PLC Lowe,Obesity,2,49,51858.80,25929.40,16
PLC Lowery,Obesity,1,35,3250.42,3250.42,13
PLC Lozano,Arthritis,1,45,12611.40,12611.44,29
PLC Lucero,Asthma,1,27,20118.30,20118.27,3
PLC Luna,Obesity,1,59,44571.90,44571.86,18
PLC Lyons,Hypertension,1,58,48617.20,48617.21,27
PLC Macdonald,Arthritis,1,64,15017.70,15017.72,11
PLC Macdonald,Cancer,1,80,35604.60,35604.55,9
PLC Macdonald,Hypertension,1,51,43311.70,43311.73,5
PLC Mack,Arthritis,1,81,12093.10,12093.09,25
PLC Mahoney,Arthritis,1,79,15675.50,15675.45,25
PLC Mahoney,Obesity,1,50,43947.90,43947.94,26
PLC Maldonado,Arthritis,1,60,20858.70,20858.69,4
PLC Maldonado,Cancer,1,60,43277.90,43277.94,21
PLC Mann,Arthritis,1,82,32968.20,32968.23,22
PLC Mann,Cancer,1,80,35646.60,35646.56,25
PLC Marquez,Arthritis,1,31,47356.60,47356.62,17
PLC Marquez,Asthma,1,30,42777.20,42777.21,13
PLC Marsh,Arthritis,2,47,100174.00,50087.09,4
PLC Marshall,Cancer,2,70,78330.50,39165.25,29
PLC Marshall,Hypertension,1,25,3745.45,3745.45,23
PLC Martin,Arthritis,2,58,44883.50,22441.76,18
PLC Martin,Asthma,2,30,64368.70,32184.33,15
PLC Martin,Cancer,1,55,22558.30,22558.33,1
PLC Martin,Diabetes,1,47,12777.30,12777.35,6
PLC Martin,Hypertension,1,78,17466.70,17466.68,30
PLC Martinez,Arthritis,1,34,37836.00,37836.01,9
PLC Martinez,Diabetes,1,54,3101.14,3101.14,8
PLC Martinez,Hypertension,1,23,11126.70,11126.70,10
PLC Martinez,Obesity,3,68,72525.40,24175.13,11
PLC Mason,Cancer,3,30,68246.10,22748.71,16
PLC Mason,Diabetes,3,60,97546.80,32515.60,19
PLC Mathis,Asthma,1,21,23252.60,23252.55,16
PLC Mathis,Obesity,1,49,35344.90,35344.93,24
PLC Maxwell,Cancer,1,48,25129.90,25129.95,1
PLC Mayo,Asthma,1,66,32164.60,32164.55,17
PLC Mcbride,Asthma,2,69,60328.30,30164.16,28
PLC Mccall,Diabetes,3,72,134428.00,44809.37,30
PLC Mccoy,Asthma,1,38,32507.30,32507.28,15
PLC Mccoy,Obesity,1,71,12591.70,12591.68,1
PLC Mccullough,Cancer,1,52,27868.10,27868.05,29
PLC Mcdaniel,Arthritis,1,66,30434.10,30434.14,14
PLC Mcfarland,Cancer,1,37,29425.00,29425.03,17
PLC Mcgee,Hypertension,1,56,20263.70,20263.73,4
PLC Mcintosh,Obesity,1,30,48682.20,48682.16,15
PLC Mckay,Asthma,2,60,48129.90,24064.97,22
PLC Mcmahon,Asthma,1,81,41133.60,41133.56,6
PLC Mcmillan,Obesity,1,58,6297.23,6297.23,13
PLC Medina,Cancer,2,40,27438.70,13719.33,9
PLC Medina,Diabetes,1,42,41369.20,41369.16,18
PLC Medina,Obesity,2,82,20269.10,10134.55,30
PLC Mejia,Arthritis,2,50,69465.90,34732.93,14
PLC Mendez,Diabetes,1,76,23397.40,23397.40,5
PLC Mendez,Obesity,1,47,12635.80,12635.81,20
PLC Mendoza,Asthma,1,29,20174.40,20174.39,4
PLC Mendoza,Hypertension,2,43,70744.80,35372.41,16
PLC Mercado,Hypertension,1,47,37029.50,37029.52,4
PLC Mercer,Asthma,2,59,64508.10,32254.04,8
PLC Merritt,Diabetes,1,60,45503.10,45503.08,8
PLC Meyer,Arthritis,1,78,3733.66,3733.66,13
PLC Meyer,Asthma,1,40,48733.10,48733.06,27
PLC Meyer,Cancer,3,36,30000.80,10000.27,15
PLC Meyer,Hypertension,1,84,2295.99,2295.99,11
PLC Meza,Diabetes,2,49,56626.80,28313.42,3
PLC Miles,Obesity,1,35,6744.63,6744.63,2
PLC Miller,Arthritis,3,69,85738.30,28579.44,25
PLC Miller,Asthma,2,43,57199.00,28599.49,12
PLC Miller,Cancer,6,62,182374.00,30395.74,23
PLC Miller,Diabetes,1,50,17084.40,17084.38,27
PLC Miller,Hypertension,2,72,45540.90,22770.44,13
PLC Mills,Arthritis,2,25,26501.20,13250.62,11
PLC Mills,Cancer,1,74,17937.20,17937.15,22
PLC Mitchell,Arthritis,1,85,20554.30,20554.33,12
PLC Mitchell,Diabetes,1,59,44009.20,44009.23,13
PLC Mitchell,Hypertension,2,81,14034.20,7017.10,26
PLC Mitchell,Obesity,1,19,46780.60,46780.63,23
PLC Montes,Hypertension,1,48,39872.00,39872.00,15
PLC Montes,Obesity,1,77,42985.60,42985.65,9
PLC Montgomery,Diabetes,1,35,35796.60,35796.63,14
PLC Montoya,Obesity,3,41,29047.90,9682.63,6
PLC Moody,Arthritis,1,75,11286.40,11286.43,14
PLC Moore,Arthritis,2,55,100468.00,50234.24,12
PLC Moore,Asthma,1,37,3697.67,3697.67,15
PLC Moore,Diabetes,1,22,25016.90,25016.92,9
PLC Moore,Hypertension,2,68,77319.80,38659.88,5
PLC Moore,Obesity,4,44,85811.60,21452.90,15
PLC Morales,Asthma,1,48,37976.60,37976.58,20
PLC Morales,Cancer,2,61,45964.50,22982.23,8
PLC Morales,Diabetes,1,50,26952.40,26952.37,8
PLC Morales,Hypertension,2,48,51895.80,25947.89,25
PLC Morales,Obesity,1,25,1069.60,1069.60,7
PLC Moran,Arthritis,2,17,73719.40,36859.68,6
PLC Morgan,Arthritis,1,62,47267.00,47267.01,5
PLC Morgan,Diabetes,3,47,120198.00,40066.13,21
PLC Morris,Arthritis,2,49,18330.50,9165.27,15
PLC Morris,Asthma,1,79,47867.00,47866.97,29
PLC Morris,Diabetes,2,56,21852.30,10926.17,18
PLC Morris,Hypertension,1,60,48391.70,48391.67,6
PLC Morrison,Asthma,1,60,25999.10,25999.13,28
PLC Morrison,Diabetes,1,36,28301.40,28301.44,5
PLC Morrow,Arthritis,1,41,23938.90,23938.92,2
PLC Morton,Diabetes,1,68,43919.20,43919.23,29
PLC Morton,Obesity,1,76,21434.70,21434.66,18
PLC Mosley,Asthma,2,70,65386.50,32693.25,11
PLC Moss,Arthritis,1,68,7573.47,7573.47,28
PLC Moss,Asthma,1,84,27769.70,27769.71,17
PLC Moss,Cancer,1,81,45277.10,45277.13,19
PLC Moyer,Asthma,1,61,16950.50,16950.54,20
PLC Moyer,Obesity,1,42,18999.40,18999.40,30
PLC Mueller,Obesity,1,47,41993.60,41993.62,1
PLC Mullen,Arthritis,1,58,49290.60,49290.60,5
PLC Munoz,Asthma,2,76,56503.60,28251.79,21
